Gene_ID,Name,s_dmso,s_drb_1,s_flavopiridol_2,s_triptolide_3
AALF003624,,0,0,0,0
AALF003627,,8.97,4.2,11.39,6.88
AALF003628,,0,0,0,0
AALF003630,,15.34,0,0.37,1.2
AALF003634,,21.48,10.51,9.66,6.83
AALF003635,,0,0,0,0
AALF003636,,0,0,0,0
AALF003637,,0,0,0,0
AALF003638,,16.45,12.44,5.56,18.58
AALF003639,,0,0,0,0
AALF003641,,0,0,0.45,1.09
AALF003642,,212.02,234.15,183.05,209.82
AALF003643,,39.44,14.63,25.77,22.56
AALF003644,,0,0,0,0
AALF003651,,0,0,0,0
AALF003652,,146.18,58.31,51.86,36.73
AALF003659,,21.64,17.54,13.61,8.51
AALF003665,,1.87,2.15,4.3,1.47
AALF003666,,53.52,22.39,23.75,19.68
AALF003667,,0,0.94,0,0.54
AALF003669,,29.96,20.22,13.15,25.26
AALF003670,,0,0,0,0
AALF003671,,0,0,0,0
AALF003675,,0,0,0,0
AALF003676,,4.71,2.63,3.83,4.86
AALF003677,,0,0,0,0
AALF003678,,3.56,0.2,1.02,0
AALF003679,,0.58,0,0,0
AALF003684,,73.81,36.31,35.33,34.74
AALF003685,,2.86,3.95,1.88,2.01
AALF003686,,295.68,301.3,316.71,300.78
AALF003688,,0,0,0,0
AALF003689,,0,0,0,0
AALF003690,,0,0,0,0
AALF003693,,5.36,2.94,3.72,4.79
AALF003694,,0,0,0,0
AALF003695,,0,0,0,0
AALF003696,,14.94,5.45,12.76,8.16
AALF003697,,329.85,347.51,338.01,332.8
AALF003698,,23.82,5.26,5.25,1.26
AALF003699,,1.21,0.1,0.49,0.12
AALF003700,,12.36,1.71,2.68,2.19
AALF003701,,35.59,13.68,12.14,13.39
AALF003702,,480.6,471.59,442.58,539.64
AALF003703,,44.49,70.72,63.24,47.55
AALF003706,,2.07,1.4,0.54,1.41
AALF003707,,0,0,0,0
AALF003708,,2.38,2.39,0.86,2.51
AALF003712,,1.82,0.65,0.61,0.94
AALF003713,,131.84,69.75,54.69,79.88
AALF003714,,25.47,3.45,0.99,1.58
AALF003715,,9.75,1.19,0.96,1.2
AALF003716,,5.75,1.32,1.6,1.92
AALF003717,,2.14,0.9,0,0
AALF003718,,3.5,0,1.32,0
AALF003720,,26.72,20.12,28.8,11.41
AALF003722,,0,0,0,0
AALF003724,,0,0,0,0
AALF003725,,51.5,14.49,13.71,17.16
AALF003726,,15.64,7.65,6.44,6.18
AALF003727,,4.31,0,0,0
AALF003728,,0,0,0,1
AALF003729,,0,0,0,0
AALF003732,,0,0,0,0
AALF003737,,7.24,1.67,2.38,2.86
AALF003739,,13.09,21.29,27.02,26.68
AALF003742,,0.42,0,1.66,0
AALF003746,,0,1.3,1.87,1.49
AALF003747,,43.72,4.33,11.66,9.63
AALF003748,,174.26,238.18,228.36,233.68
AALF003749,,28.03,14.33,16.41,0
AALF003755,,37.42,33,33.82,32.51
AALF003756,,0,0,0,0
AALF003757,,2.29,0.15,0.46,0
AALF003758,,3.14,3.57,3.33,3.55
AALF003759,,152.79,136.42,123.83,165.54
AALF003760,,8.31,3.79,7.24,6.14
AALF003761,,58.02,27.59,17.52,17.82
AALF003762,,0.44,1.57,1.34,1.43
AALF003766,,7.88,2.29,0,1.62
AALF003767,,190.32,108.1,105.64,70.02
AALF003768,,0,0,0,0
AALF003774,,0,0.58,0.83,1.33
AALF003777,,0.81,0,0,0
AALF003779,,20.7,10.33,1.76,1.55
AALF003780,,14.61,4.42,3.73,1.88
AALF003781,,0,0,0,0
AALF003791,,2.5,0.61,0.89,0.56
AALF003792,,45.31,41.58,31.25,26.1
AALF003793,,0.67,0,0,0
AALF003794,,84.06,24.29,19.31,22.66
AALF003795,,329.7,381.4,362.14,309.06
AALF003796,,7.33,2.66,1.02,3.86
AALF003797,,69.37,39.4,35.81,8.56
AALF003798,,0,0,0,0
AALF003799,,68.21,67.21,73.93,65.89
AALF003801,,0,0,0,0
AALF003803,,0,0,0,0
AALF003806,,0.14,0.05,0.11,0.07
AALF003809,,5.63,2.88,7.01,2.31
AALF003815,,0,0,0,0.62
AALF003816,,6.97,4.8,5.1,2.24
AALF003817,,0,0,0,0
AALF003823,,72.24,42.93,49.14,35.9
AALF003824,,17.15,5.66,4.26,3.41
AALF003825,,25,9.06,9.26,7.08
AALF003826,,295.9,302.74,345.52,323.5
AALF003827,,71.31,33.25,26.57,15.82
AALF003828,,223.1,137.63,115.62,126.99
AALF003829,,44.85,23.09,20.82,8.12
AALF003830,,0,0,0,0.56
AALF003831,,0,0,0,0
AALF003832,,0,0,0,0
AALF003833,,0,0,0,0
AALF003834,,132.66,99.29,115.77,64.52
AALF003835,,0,0,0,0
AALF003836,,0,0,0,0
AALF003837,,59.33,30.42,20.66,22.03
AALF003838,,0.2,0,0,0
AALF003839,,4.23,6.23,2.23,6.25
AALF003840,,2.7,0,0,2.85
AALF003841,,0,0,0,0
AALF003842,,2.55,16.44,10.08,13.45
AALF003843,,0,0,0,0
AALF003844,,0,0,0,0
AALF003845,,0,0,0,0
AALF003846,,0,0,0,0
AALF003847,,0,0,0,0
AALF003848,,0,0,0,0
AALF003849,,0,0,0,0.06
AALF003850,,0,0,0,0
AALF003851,,84.62,125.05,131.19,110.09
AALF003852,,207.1,162.46,188.13,154.64
AALF003853,,1.14,0.3,0.34,0.52
AALF003854,,370.23,339.6,287.05,334.43
AALF003855,,17.81,13.8,12.35,11.86
AALF003856,,3.31,13.66,9.59,13.13
AALF003857,,211.27,188.72,210.43,232.04
AALF003858,,30.13,10.82,11.13,0.39
AALF003859,,28.86,19.8,20.33,21.55
AALF003863,,0,0,0,0
AALF003864,,2.31,3.93,1.83,0.37
AALF003865,,1.65,0,3.62,1.74
AALF003866,,31.12,13.2,18.08,4.82
AALF003867,,1.57,0.5,0.91,0.87
AALF003871,,265.31,96.12,87.4,81.45
AALF003874,,0.01,4.24,0,2.02
AALF003875,,0,0,0,0
AALF003878,,0,0,0,0
AALF003880,,1.11,0,0,0
AALF003882,,0,0,0,0
AALF003883,,0.78,0.72,1.03,0
AALF003888,,0,0,0,0
AALF003889,,0,0,0,0
AALF003890,,0,0,0,0
AALF003891,,0.26,1.93,0.86,3.54
AALF003894,,0,0,0,0
AALF003895,,0,0,0,0
AALF003896,,0,0,0,0
AALF003897,,0,0,0,0
AALF003898,,30.05,18.14,25.3,22.67
AALF003899,,0,0,0,0
AALF003907,,8.35,1.19,2.26,1.9
AALF003910,,208.61,229.32,158.93,220.94
AALF003911,,207.73,133.04,124.58,101.84
AALF003917,,0,0,0,0
AALF003918,,0,0,0,0
AALF003919,,0,0,0,0
AALF003920,,0,0,0,0
AALF003921,,23.19,4.61,4.65,6.29
AALF003922,,0,0,0,0
AALF003924,,1.69,0,0,0
AALF003925,,6.72,4.64,2.21,1.77
AALF003931,,38.85,10.17,17.67,8.87
AALF003939,,18.19,16.31,12.36,20.47
AALF003942,,0,0,0,0
AALF003943,,0,0,0,0
AALF003944,,0,0.49,0,1.13
AALF003947,,0,0,0,0
AALF003949,,0,0,0,0
AALF003950,,0,3.43,0.98,0.79
AALF003951,,3.59,8.9,7.64,3.79
AALF003952,,1.99,1.83,2.19,2.8
AALF003953,,0.71,0.44,1.25,0
AALF003954,,1.02,0.86,0.56,0.9
AALF003955,,30.35,12.08,12.96,22.48
AALF003956,,1.37,0,0,0
AALF003957,,0,0,0,0
AALF003958,,0,0,0,0
AALF003959,,0,0,0,0
AALF003960,,6.26,4.11,3.53,4.24
AALF003964,,0.41,0.76,0.55,0.87
AALF003965,,3.11,0.96,1.37,0
AALF003968,,0,0,0,0
AALF003969,,0,0.38,1.1,1.31
AALF003972,,15.7,19.38,9.07,2.82
AALF003973,,4.96,0.35,1.51,1.41
AALF003974,,138.93,48.32,65.53,51.17
AALF003975,,0,0,0,0
AALF003976,,2.72,3.5,2.42,1.85
AALF003977,,13.61,3.02,2.2,4.23
AALF003978,,5.95,1.7,0.89,0.72
AALF003979,,48.83,11.83,7.62,1.35
AALF003980,,15.1,1.74,7.46,2.65
AALF003981,,16.32,3.26,2.57,2.99
AALF003982,,0,0,0,0
AALF003983,,70.85,64.31,52.4,60.35
AALF003985,,609.07,700.6,682.91,711.35
AALF003986,,162.13,94.86,77.79,81.78
AALF003989,,0,0.71,2.04,0
AALF003990,,410.33,199.25,173.5,192.35
AALF004000,,0,0,0,0
AALF004003,,0,0,0,0
AALF004004,,577.48,687.04,709.07,736.72
AALF004005,RpS12,1972.96,3033.93,2811.7,3047.93
AALF004006,,0,0.8,0,0
AALF004007,,23.33,5.37,0,3.07
AALF004012,,23.67,9.97,10.04,6.34
AALF004018,,0,0,0,0
AALF004019,,0,1.45,0,0
AALF004020,,50.79,46.25,51.59,48.85
AALF004021,,0,0,0,0
AALF004022,,165.56,77.92,75.57,48.58
AALF004023,,71.88,6.39,16.97,4.7
AALF004024,,0,0,0,0
AALF004025,,8.24,12.97,7.43,12.53
AALF004029,RpS6,939.28,1220.69,1207.25,1266.59
AALF004030,,1491.7,2109.72,2043.04,2239.55
AALF004031,,0,0,0,0
AALF004032,,0,0,0,0
AALF004033,,0,0,0,0
AALF004034,,0,0,0,0
AALF004041,,53.32,49.49,37.05,30.28
AALF004042,,10.21,13.46,24.69,3.95
AALF004044,,9.03,0,6.18,3.34
AALF004045,,4.71,5.75,8.03,6.19
AALF004046,,0,0,0,0
AALF004047,,0,1.36,0.97,0.39
AALF004048,,0,0,0,0
AALF004049,,16.19,3.24,4.51,4.8
AALF004050,,66.13,46.39,25.26,5.28
AALF004051,,5.55,4.17,2.37,0.8
AALF004052,,8.75,3.99,6.44,5.65
AALF004053,,1.94,2.41,2.84,1.98
AALF004055,,26.91,7.43,6.79,6.62
AALF004056,,3.06,5.64,2.69,2.69
AALF004058,,5.49,10.11,0,1.16
AALF004064,,4.46,0,0,0
AALF004068,,0,0,0,0
AALF004069,,0,0,0,0
AALF004070,,0,0,0,0
AALF004071,,0,0.42,0,0
AALF004072,,0,0,0,0
AALF004083,,18.83,8.66,1.98,2.78
AALF004084,,0,0,0,0
AALF004086,,0,0,0,0
AALF004087,,2.32,1.57,5.31,2.29
AALF004088,,0,0,0,0
AALF004090,,114.53,114.51,103.09,105.96
AALF004093,,1.4,0.38,0.38,0.17
AALF004095,,20.88,3.84,9.62,8.8
AALF004101,,24.79,7.89,3.12,3.07
AALF004102,,507.07,467.49,511.92,503.74
AALF004103,,5.9,8,9.2,15.7
AALF004104,,1935.89,2605.98,2440.24,2675.81
AALF004105,,18.54,26.49,21.17,14.49
AALF004106,,0,0,0,0
AALF004107,,94.42,100.06,91.06,130.27
AALF004110,,0,0,0,0
AALF004111,,0,0,0,0
AALF004112,,1.99,0,0.75,0
AALF004114,,0,0,0,0.17
AALF004115,,0,0,0,0
AALF004116,,74.43,39.05,40.73,48.51
AALF004117,,1.61,0,0,0
AALF004118,,122.71,180.81,170.82,183.62
AALF004119,,0,0,0,0
AALF004120,,54.21,65.41,50.54,60.87
AALF004121,,0,0,0,0
AALF004122,,39.42,37.27,26.68,38.25
AALF004123,,2.64,2.13,0.43,1.17
AALF004127,,4.87,6.38,4.68,7.12
AALF004130,,0,0,0,0
AALF004132,,7.76,2.53,5.48,5.68
AALF004133,,5.94,7.72,0,0
AALF004134,,50.63,20.2,20.02,16.19
AALF004135,,1.41,0,0.93,0
AALF004136,,8.75,2.01,1.44,2.31
AALF004137,,42.12,24.95,27.07,29.74
AALF004138,,24.62,13.38,10.66,11.67
AALF004141,,0,0,0,0
AALF004142,,107.26,80.1,88.58,78.3
AALF004143,,0.52,0,1.37,0
AALF004144,,0,0,0,0
AALF004145,,0,0,0,0
AALF004146,,1.62,0,4.44,3.77
AALF004147,,0,0,0,0
AALF004148,,0,0.27,0,0
AALF004149,,14.11,11.88,11.66,9.49
AALF004150,,23.81,14.83,15.99,12.11
AALF004151,,16.4,9.77,7.45,3.28
AALF004157,,7.74,0,5.09,4.08
AALF004160,,281.29,60.81,67.96,57.7
AALF004162,,39.72,11.88,9.69,11.34
AALF004163,,86.69,15.42,13.65,14.59
AALF004165,,0,0,0,0
AALF004166,,0,0,0,1.31
AALF004167,,0,0.98,0,0
AALF004168,,187.14,284.88,321.67,286.34
AALF004169,,15.03,4.54,5.91,1.54
AALF004170,,1.84,0.75,2.69,0.86
AALF004171,,17.5,16.91,19.59,12.91
AALF004172,,0,1.32,0,1.51
AALF004173,,4.55,3.59,6,7.54
AALF004175,,8.93,10.95,15.68,20.39
AALF004180,,14.7,46.79,29.85,36.8
AALF004184,,3.27,6.01,4.3,4.82
AALF004185,,16.66,15.48,16.84,9.82
AALF004186,,100.92,10.41,23.58,17.41
AALF004187,,3.2,2.56,2.74,2.8
AALF004188,,63.8,61.86,61.96,47.21
AALF004189,,0,0,0,0
AALF004191,,286.37,250.97,191.15,172.56
AALF004192,,102.95,65.79,72.74,64.58
AALF004193,,540.98,491.59,482.71,522.31
AALF004195,,0,0,0,0
AALF004201,,0.76,0.25,0.36,0.22
AALF004202,,0.54,0,1.83,0
AALF004203,,0,0,0,0
AALF004215,,95.21,78.02,47.27,95.5
AALF004216,,120.21,29.24,32.23,23.08
AALF004217,,1.63,0,0.36,0
AALF004218,,90.37,19.92,34.04,9.97
AALF004219,,35.11,17.23,35.45,23.44
AALF004220,,15.98,0,6.31,0
AALF004221,,282.05,281.16,291.92,276.29
AALF004222,,40.69,8.46,15.56,13.83
AALF004223,,0,0,0,0
AALF004224,,22.3,7.17,3.94,4.1
AALF004225,,78.43,34.19,24.39,33.43
AALF004226,,25.65,32.76,25.13,15.96
AALF004227,,6.41,0,0.99,0
AALF004228,,0.97,0,0.26,0
AALF004229,,221.61,60.61,60.25,42.86
AALF004230,,0,0,0.63,0
AALF004231,,14.06,8.22,6.76,10.21
AALF004232,,31.73,17.52,16.71,17.56
AALF004235,,0.62,0.57,0,0.65
AALF004238,,0,0,0,0.82
AALF004239,,1.45,2.67,2.18,2.84
AALF004240,,0,0,0,0
AALF004241,,5.54,3.83,5.42,8.88
AALF004242,,158.17,104.48,82.03,93.86
AALF004243,,24.15,4.3,2.29,4.84
AALF004244,,59.75,53.55,89.17,66.74
AALF004245,,0,0,0,0
AALF004249,,0,0.7,0,0
AALF004254,,44.18,11.4,19.58,10.88
AALF004255,,1,0.92,0,1.85
AALF004256,,45.91,24.06,21.83,23.19
AALF004257,,14.72,11.16,15.49,8.7
AALF004260,,4.89,10.51,3.22,10.31
AALF004261,,0,0,0,0
AALF004262,,5.99,2.27,0,0.29
AALF004263,,14.73,5.1,2.29,2.35
AALF004276,,2.34,2.15,0,0
AALF004282,,77.55,40.34,44.4,26.65
AALF004283,,0.81,1.74,2.49,1.71
AALF004284,,89.27,27.88,27.74,19.66
AALF004285,,1.6,1.47,1.05,0.42
AALF004288,,0,0,0,0
AALF004289,,0,0,0,0
AALF004290,,0.74,4.5,6.19,0
AALF004291,,0,0,0,0
AALF004292,,12.98,2.51,6.3,1.44
AALF004293,,0,0,0,0
AALF004294,,0,0,0,0
AALF004295,,4.31,3.25,0.52,0.41
AALF004298,,0,0,0,0
AALF004299,,0,0,0,0
AALF004300,,0,0,0,0
AALF004301,,3.43,3.16,1.13,12.65
AALF004302,,0,0,0,0
AALF004305,,122.23,37.76,53.02,30.49
AALF004308,,0,0,0,0
AALF004309,,7.62,11.89,13.96,25.14
AALF004310,,0,0,0,0
AALF004311,,0,0,0,0
AALF004312,,11.62,1.94,4.17,3.34
AALF004313,,4.14,8.58,8.19,12.01
AALF004316,,1.23,0.57,0,0.65
AALF004317,,0,0,0,0
AALF004318,,0,0,0,0
AALF004319,,0,0,0,0
AALF004320,,0,0,0,0
AALF004321,,0,0,0,0
AALF004323,,0,0,0,0
AALF004324,,0,0,0,0
AALF004325,,0.46,4.2,1.8,0
AALF004326,,3.17,10.23,2.09,0
AALF004330,,72.87,87.47,108.48,83.48
AALF004331,,5.11,0.89,0,0.26
AALF004332,,58.15,85.98,81.99,75.47
AALF004333,,313.01,176.11,143.53,154.94
AALF004335,,0,0,0,0.34
AALF004336,,3.18,2.68,8.37,9.38
AALF004337,,1354.58,491.86,457.44,445.22
AALF004338,,4.38,0,0,2.45
AALF004341,,3.91,0.4,0.29,0
AALF004343,,0,0,0,0
AALF004346,,24.73,1.97,5.23,1.29
AALF004349,,10.47,8.8,11.41,0.38
AALF004350,,18.51,3.65,6.09,2.79
AALF004351,,1235.15,1542.66,1431.01,1563.04
AALF004352,,0.48,0,1.27,1.02
AALF004354,,0,0,0,0
AALF004359,,0,0,0,0
AALF004360,,2.37,1.94,1.25,0.11
AALF004361,,187.3,177.44,158.48,164.93
AALF004362,,33.01,6.14,10.86,8.05
AALF004363,,6.11,2.48,2.55,0.31
AALF004364,,11.15,2.44,2.1,1.68
AALF004372,,0,0,0,0
AALF004375,,2.49,0.66,5.46,1.76
AALF004376,,0,0,0,0
AALF004377,,0,0,0,0
AALF004378,,0,0,0,0
AALF004379,,0,0,0,0
AALF004380,,0,0,0,0
AALF004381,,0,0,0,0
AALF004382,,0,0,0,0
AALF004383,,0,0,0,0
AALF004385,,0,0,0,0
AALF004386,,43.03,38.43,34.91,37.32
AALF004387,,48.32,57.44,56.03,65.19
AALF004388,,5.3,8.15,4.71,2.55
AALF004389,,0,0,0,0
AALF004390,,57.3,30.61,23.78,10.78
AALF004391,,150.44,117.56,94.83,102.34
AALF004392,,0,0,0,0
AALF004394,,32.92,6.34,6.05,8.07
AALF004395,,0,0,0,0
AALF004396,,164.16,40.83,32.71,14.52
AALF004397,,61.28,7.09,13.86,6.66
AALF004398,,0,0.77,0,0
AALF004401,,0,0,0,0
AALF004405,,0,0,5.02,4.02
AALF004406,,7.35,19.54,13.98,20.66
AALF004409,,1007.38,1761.78,1871.62,2134.34
AALF004410,,0,2.64,0,0
AALF004411,,20.69,4.68,8.54,8.87
AALF004412,,2.7,1.67,2.39,1.31
AALF004415,,7.22,30.1,198.4,0
AALF004417,,0,0,0,0
AALF004418,,0.96,1.47,1.68,2.35
AALF004419,,0,0,0,0
AALF004420,,0,0,0,0
AALF004421,,0,0,0,0
AALF004423,,0,0,0,0
AALF004424,,0,0,0,0
AALF004426,,38.94,17.38,18.63,14.88
AALF004427,,0,0,0,0
AALF004428,,2.89,0.76,4.89,0
AALF004429,,14.1,2.51,2.4,0.96
AALF004430,,77.75,17.18,18.6,15.52
AALF004431,,0,0,0,0
AALF004432,,0,0,0,0
AALF004433,,0,0,0,0
AALF004441,,0,0,0,0
AALF004442,,0,0,0,0
AALF004443,,6.45,1.14,2.73,0.75
AALF004445,,30.63,17.78,18.8,19.66
AALF004446,,24.42,19.91,19.31,19.02
AALF004449,,0,0,0,0
AALF004451,,0,0,0,0
AALF004452,,7.03,4.62,6.17,1.76
AALF004453,,158.71,79.4,80.1,85.77
AALF004454,,163.05,141.8,145.16,125.77
AALF004456,,11.79,1.33,1.26,0.35
AALF004458,,0,0.91,0,0
AALF004459,,2.76,0.96,0.98,1.68
AALF004460,,32.65,13.87,14.06,13.24
AALF004461,,2.53,0.47,0,0
AALF004462,,15.24,15.97,16.5,10.4
AALF004463,,39.24,6.17,8.82,13.11
AALF004464,,385.49,365.18,377.88,383.16
AALF004475,,0,0,0,0
AALF004485,,135.81,207.57,213.67,268.17
AALF004490,,0,0.54,0,1.24
AALF004496,,0,0,0,0
AALF004497,,0,0,0,0
AALF004498,,0,0.83,1.12,0.62
AALF004499,,0,0,0,0
AALF004501,,0,0,0,0
AALF004502,,0,0,0,0
AALF004506,,0,0,0,0
AALF004508,,0,0,0,0
AALF004509,,4.16,0,0,0
AALF004511,,0.79,0,0.52,0
AALF004512,,11.18,4.53,0,2.59
AALF004516,,0,0,0,0
AALF004517,,0,0,0,0
AALF004518,,0,0,0.54,0
AALF004519,,10.65,1.09,2.09,0.83
AALF004520,,27.04,15.14,9.11,7.47
AALF004521,,0,0,0,0
AALF004522,,0,0,0,0
AALF004523,,225.31,147.12,158.85,113.32
AALF004524,,45.61,55.26,45.81,56.37
AALF004525,,0,0,0,0
AALF004526,,0,0,0,0
AALF004527,,0,0,0,0
AALF004528,,0,0,0,0
AALF004529,,0,0,0,0
AALF004530,,0.18,0,0,0
AALF004531,,20.1,8.03,7.48,2.75
AALF004532,,31.66,6.89,9.95,0
AALF004536,,3.95,2.21,0.46,1.61
AALF004538,,0,0,0,0
AALF004539,,0,0,0,0
AALF004542,,0,0.23,0.16,0
AALF004547,,26.12,33.82,18.71,1.05
AALF004548,,75.33,128.36,108.36,157.32
AALF004549,,38.44,25.02,29.63,19.76
AALF004550,,129.04,146.52,156.1,170.02
AALF004551,,0.79,0,0,0
AALF004552,,111.85,137.03,145.39,168.41
AALF004553,,24.11,3.77,5.39,3.84
AALF004560,,0,0,0,0
AALF004561,,1371.43,1512.76,1416.79,1406.79
AALF004562,,0.76,0,0,0.6
AALF004563,,118.65,45.5,51.62,61.23
AALF004565,,0.4,1.1,0,0
AALF004566,,4.95,14.57,9.93,12.96
AALF004567,,18.28,5.13,2.33,3.13
AALF004568,,2.01,0.74,0,0.26
AALF004569,,301.52,209.44,197.61,122.76
AALF004570,,48.41,17.27,7.81,0.52
AALF004571,,204.96,179.69,171.42,174.56
AALF004572,,33.31,3.96,3.54,1.13
AALF004573,,0,0,0,0
AALF004577,,0,0,0,0
AALF004578,,0,0,0,0
AALF004581,,0,0,0,0
AALF004585,,0,0,0,0
AALF004591,,3.78,4.45,3.32,3.1
AALF004592,,1.5,1.94,1.87,0.48
AALF004593,,13.8,3.21,2.65,1.84
AALF004594,,0,0,0,0
AALF004595,,397.06,325.52,347.38,317.56
AALF004597,,0.58,0.27,0,0
AALF004602,,0,0,0,0
AALF004603,,21.07,5.49,7.76,7.07
AALF004604,,75.53,72.48,74.79,53.08
AALF004605,,1265.36,1661.88,1713.79,1798.55
AALF004606,,0,0,0,0
AALF004610,,0.34,1.27,2.26,1.45
AALF004611,,1.38,0.51,2.92,1.02
AALF004612,,82.03,25.67,23.77,25.94
AALF004613,,23.71,3.12,4.46,2.68
AALF004614,,0,0,0,0
AALF004616,,370.98,257.41,201.57,177.27
AALF004617,,69.93,42.07,18.88,13.61
AALF004618,,3.82,1.41,2.01,5.2
AALF004620,,6.49,3.06,3.29,0.35
AALF004626,,0,0,0,0
AALF004627,,0,0,0,0
AALF004628,,0,0,0,0
AALF004629,,39.79,7.54,6.17,2.47
AALF004631,,0,0,0,0
AALF004632,,0,0,0,0
AALF004633,,0,0,0,0
AALF004636,,36.7,21.57,25.43,18.18
AALF004637,,0,0.24,0,0.44
AALF004638,,0,0,0,0
AALF004639,,0,0,0,0
AALF004640,,3.21,1.25,1.13,0.34
AALF004641,,16.21,10.72,10.8,9.73
AALF004642,,1.55,0,0,0
AALF004643,,1.32,1.16,1.1,0.94
AALF004644,,3.19,0.52,0,0.6
AALF004645,,3.82,2.26,0,1.05
AALF004646,,9.95,4.23,3.02,0
AALF004647,,4.57,0,1.5,2.41
AALF004653,,105.29,33.57,51.66,33.37
AALF004654,,0,0,0,0
AALF004655,,187.69,68.95,50.89,54.86
AALF004657,,0,0.39,0,0
AALF004658,,26.23,14.58,13.95,16.87
AALF004659,,0,1.02,0,1.17
AALF004660,,0,0.37,0,0
AALF004661,,3.35,3.09,1.47,0
AALF004662,,0.44,0,0,0
AALF004663,,6.57,0.54,0,0
AALF004664,,4.95,4.05,4.34,0
AALF004668,,0,0,0,0
AALF004676,,0,0,0,0
AALF004677,,0,0,0.58,0
AALF004679,,0,0,0,0
AALF004680,,0,0,0,0
AALF004681,,2.09,0,0,0
AALF004682,,132.36,81.03,101.84,80.92
AALF004683,,242.84,130.11,144.15,134.59
AALF004684,,0,0,4.36,3.49
AALF004685,,11.03,3.58,3.63,6.5
AALF004686,,0,0,0,0
AALF004689,,0.54,0.49,0.71,0
AALF004693,,0.65,0,0.43,0.34
AALF004694,,10.53,6.82,6.68,4.52
AALF004696,,0,0.83,0,0
AALF004697,,0,0,0,0
AALF004698,,2.96,0.82,0.68,0.94
AALF004701,,0,0,0,0
AALF004702,,0,0,0,0
AALF004703,,0,0,0,0
AALF004704,,0,0,0,0
AALF004705,,0,0,0,0
AALF004706,,0,0,0,0
AALF004707,,0,0,0,0
AALF004708,,0,0,0,0
AALF004709,,0,0,0,0
AALF004710,,0,0,0,0
AALF004711,,0,0,0,0
AALF004712,,0,0,0,0
AALF004713,,0,0,0,0
AALF004716,,0.54,0,0,0.57
AALF004720,,11,6.75,16.25,11.95
AALF004721,,23.12,25.93,19.98,22.85
AALF004722,,0,0,0,0
AALF004723,,0,0.25,0,2.02
AALF004726,,0,0,0,0
AALF004727,,8.6,2.26,4.05,1.3
AALF004728,,1.79,0.82,1.96,0.63
AALF004730,,18.79,12.78,15.8,19.13
AALF004731,,0,0,0,0
AALF004732,,0,0,0,0
AALF004733,,9.11,6.99,10,5.34
AALF004734,,0,0,0,0
AALF004735,,0,0,0,0
AALF004736,,0,0,0,0
AALF004737,,0,0,0,0
AALF004738,,0,0,0,0
AALF004739,,0,0,0,0
AALF004740,,3.46,2.38,0,0
AALF004741,,7.64,1.59,6.08,0.3
AALF004742,,0,0,0,0
AALF004743,,0.82,0,0.37,0.6
AALF004745,,20.83,22.15,16.46,16.1
AALF004747,,0,0,0,0
AALF004748,,0,0,0,0
AALF004749,,14.09,11.84,7.84,14.24
AALF004750,,11.61,1.64,1.76,1.41
AALF004751,,0.42,0.38,0,0.35
AALF004752,,1.55,0,0,0
AALF004754,,2.99,0.59,1.96,0.52
AALF004755,,7.79,0.03,0.95,0.15
AALF004756,,13.36,4.2,2.96,0.74
AALF004758,,0,0,0,0
AALF004765,,0,0,0,0
AALF004766,,0,0,0,0
AALF004768,,0,0.38,0,0
AALF004769,,0,0,3.18,0
AALF004770,,0,0,0,0
AALF004772,,26.49,7.83,4.16,2.31
AALF004774,,0,0.17,0,0
AALF004775,,119.45,95.2,89.99,104.12
AALF004777,,0,0,0,0
AALF004778,,0,0,0,0
AALF004781,,5.07,1.54,1.91,0.56
AALF004782,,49.66,14.13,7.18,10.78
AALF004783,CycC,53.49,23.92,29.47,26.1
AALF004786,,0,4.63,0,0
AALF004790,,0.86,0.43,0,0
AALF004791,,79.67,14.21,14.43,11.02
AALF004796,,0.58,0.27,0.38,0
AALF004797,,3.36,0,0,0
AALF004800,,98.07,70.34,68.59,66.3
AALF004801,,0,0.84,0,0.87
AALF004811,,0,0,0,0
AALF004812,,1.62,5.71,3.56,0
AALF004813,,29.44,3.39,6.1,0
AALF004814,,0,0,0,0
AALF004826,,155.48,141.4,126.26,164.53
AALF004827,,0,0,0.83,0
AALF004828,,245,93.23,152.02,193.68
AALF004829,,0,0,0,0
AALF004830,,178.34,91.66,81.34,78.94
AALF004831,,3.4,0,0,0
AALF004832,,22.11,1.43,9.43,0.66
AALF004833,,431.91,190.49,172.46,185.88
AALF004834,,9.82,6.63,7.47,3.91
AALF004835,,3.06,2.32,2.83,2.55
AALF004836,,0,0,0,0
AALF004837,,0,0,0,0
AALF004838,,13.12,0.58,1.06,0
AALF004839,,27.9,5.46,3.1,7.79
AALF004840,,0,0,0,0
AALF004841,,0,0,0,0
AALF004842,,0,0,0,0
AALF004843,,0,0,0,0
AALF004844,,0,0,0,0
AALF004845,,11.7,23.7,18.5,13.57
AALF004846,,0.66,1.22,0,0
AALF004847,,0,0,2.88,0
AALF004848,,0,0,0,0
AALF004849,,19.14,27.33,32.93,27.18
AALF004851,,0,0,0,0
AALF004852,,0,0,0,0
AALF004856,,29.05,23.89,19.13,17.91
AALF004858,,0,0,0,0
AALF004859,,12.25,4.9,6.31,2.81
AALF004860,,6.62,1.52,0,1.74
AALF004861,,0.99,2.73,1.3,3.93
AALF004862,,8.45,5.68,4.21,1.25
AALF004865,,11.14,0,0,0
